highway,traffic_signals,crossing,amenity,operator,payment:telephone_cards,crossing:markings,crossing_ref,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,healthcare,name,bicycle,natural,date,display,faces,support,visibility,addr:country,addr:suburb,architect,building,building:architecture,building:levels,denomination,diocese,historic,is_in:city,is_in:country,name:de,name:en,name:es,name:fr,name:id,name:it,name:pt,name:zh,nohousenumber,opening_hours,phone,religion,roof:colour,roof:shape,start_date,tourism,website,wikidata,wikimedia_commons,wikipedia,wikipedia:en,cycleway:right,lit,maxspeed,min_height,oneway,oneway:bicycle,surface,width,alt_name,sidewalk,lanes,leisure,name:ja,name:tr,bicycle:conditional,busway:left,busway:right,lanes:bus,lanes:bus:conditional,maxspeed:conditional,postal_code,trolley_wire,turn:lanes,bus,cycleway:est_width,cycleway:left,bridge,layer,source,foot,segregated,height,access,bicycle_parking,capacity,covered,description,fee,opening_hours:covid19,operator:type,supervised,footway,type,landuse,area_m2,length_m
traffic_signals,signal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,telephone,Telefonica,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,marked,,,,yes,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,pharmacy,,,,,São Paulo,152,01001-001,Praça da Sé,Droga Raia,Q10357101,pt:RaiaDrogasil,pharmacy,Droga Raia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
traffic_signals,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,fast_food,,,,,São Paulo,29,01016-010,Rua Irmã Simpliciana,,,,,Central da Copa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,clock,,,,,,,,,,,,,Relógio,,,no,analog,4,pole,street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,pharmacy,,,,,São Paulo,100,01001-001,Praça da Sé,,,,pharmacy,Onofre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
