circumference,denotation,genus,height,leaf_type,natural,species,species:wikidata,fixme,highway,level,min_height,amenity,note,addr:housename,addr:postcode,addr:street,check_date,cuisine,indoor_seating,name,outdoor_seating,source,stars,website,wheelchair,wikidata,colour,generator:method,generator:output:electricity,generator:source,generator:type,manufacturer,model,power,rotor:diameter,rotor:height,start_date,backrest,3dmr,addr:city,addr:housenumber,alt_name:sr,alt_name:zh-Hans,alt_name:zh-Hant,architect,building,building:colour,building:material,building:shape,communication:radio,communication:television,engineer,fee,heritage,heritage:operator,historic,historic:period,image,image:0,importance,landmark,layer,man_made,mhs:inscription_date,name:af,name:ar,name:ast,name:ba,name:be,name:br,name:cs,name:da,name:de,name:el,name:en,name:eo,name:es,name:et,name:eu,name:fa,name:fi,name:fr,name:he,name:hi,name:hr,name:hu,name:ia,name:id,name:io,name:it,name:ja,name:kk,name:ko,name:ku,name:la,name:lb,name:nl,name:pl,name:pt,name:ro,name:ru,name:sk,name:sl,name:sr,name:sv,name:ta,name:tr,name:tt,name:uk,name:vi,name:vo,name:zh,name:zh-Hans,name:zh-Hant,opening_hours,operator,panoramax,ref:FR:ANFR,ref:FR:FANTOIR,ref:mhs,source:building,source:heritage,source:name:br,tourism,tourism:visitors,tower:construction,tower:type,wikimedia_commons,wikipedia,access,lit,surface,note:render,render,covered,smoothness,building:part,roof:shape,foot,handrail,incline,oneway,ramp,step_count,tactile_paving,noname,indoor,repeat_on,building:levels,description:en,landuse,area_m2,length_m
3.20,park,Platanus,15,broadleaved,tree,Platanus × hispanica,Q161374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,position estimated,elevator,2;3,115.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,position estimated,elevator,2;3,115.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,position estimated,,3,276.13,bar,Bar à champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,2,,restaurant,,Tour Eiffel,75007,Avenue Gustave Eiffel,2025-10-23,french,no,Le Jules Verne,yes,www.lejulesverne-paris.com,1,https://www.lejulesverne-paris.com,yes,Q3223818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,134,,,,,position estimated,,2,127,,,,,,,,,,,,,,,,#706550,wind_turbine,3.2 kW,wind,vertical_axis,Urban Green Energy,VisionAIR5,generator,3.2,5.2,2015-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,134,,,,,position estimated,,2,127,,,,,,,,,,,,,,,,#706550,wind_turbine,3.2 kW,wind,vertical_axis,Urban Green Energy,VisionAIR5,generator,3.2,5.2,2015-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,fast_food,,,,,2025-04-30,,,Snacks Et Boissons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
