highway,source,amenity,ele,gnis:feature_id,name,power,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,brand,brand:wikidata,ref,bus,network,network:short,network:wikidata,public_transport,tiger:cfcc,tiger:name_base,tiger:name_type,tiger:reviewed,tiger:separated,tiger:source,tiger:tlid,tiger:zip_left,tiger:zip_right,hgv,lanes,maxspeed,old_ref_legislative,oneway,shoulder,source:hgv,building,bicycle,foot,motor_vehicle,segregated,surface,tiger:name_base_1,cables,voltage,access,service,tunnel,layer,natural,footway,area_m2,length_m
traffic_signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,school,350,1179782,Locust Grove School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,school,342,1180004,Lowell School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
turning_circle,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
traffic_signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,fuel,,,Speedway,,West Mifflin,4315,15122,PA,Kennywood Boulevard,Speedway,Q7575683,2916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
bus_stop,,,,,Kennywood Blvd at Glenn St,,,,,,,,,10977,yes,Port Authority of Allegheny County,PAAC,Q7230500,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
bus_stop,,,,,Kennywood Blvd at Glenn St,,,,,,,,,10894,yes,Port Authority of Allegheny County,PAAC,Q7230500,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
residential,,,,,Harvey Way,,,,,,,,,,,,,,,A41,Harvey,Way,no,no,tiger_import_dch_v0.7_20071109,51671346,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,34.967997939226194
residential,,,,,Valeview Drive,,,,,,,,,,,,,,,A41,Valeview,Dr,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,262.8145785538731
residential,,,,,Beech Street,,,,,,,,,,,,,,,A41,Beech,St,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,406.40664632414814
residential,,,,,Doyle Drive,,,,,,,,,,,,,,,A41,Doyle,Dr,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,113.76350520819605
residential,,,,,Kane Way,,,,,,,,,,,,,,,A41,Kane,Way,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,485.8323511380751
residential,,,,,Everlawn Street,,,,,,,,,,,,,,,A41,Everlawn,St,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,768.5439795357695
residential,,,,,Oak Street,,,,,,,,,,,,,,,A41,Oak,St,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,182.38046771109066
residential,,,,,School Street,,,,,,,,,,,,,,,A41,School,St,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,830.5714504225705
residential,,,,,Vista View Street,,,,,,,,,,,,,,,A41,Vista View,St,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,869.4798286717136
residential,,,,,Rossmoor Drive,,,,,,,,,,,,,,,A41,Rossmoor,Dr,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,124.21219495240065
residential,,,,,Daye Drive,,,,,,,,,,,,,,,A41,Daye,Dr,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,48.17239393288919
