crossing,highway,power,addr:city,addr:postcode,addr:street,addr:suburb,amenity,name,religion,natural,junction,lanes,surface,maxspeed,oneway,source,alt_name,bridge,layer,service,building:levels,building,landuse,cables,circuits,description,frequency,old_operator,operator,voltage,wires,location,substation,brand,fuel:GNV,fuel:diesel,fuel:diesel_S10,fuel:etanol_comum,fuel:gasolina_aditivada,fuel:gasolina_comum,access,footway,shop,area_m2,length_m
uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,Macaé,27970-800,Avenida 2,Ajuda,place_of_worship,Igreja Cristã Maranata,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,primary,,,,,,,,,,roundabout,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,385.02649397740305
,primary,,,,,,,Avenida Lacerda Agostinho,,,,2,paved,80,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4222.330011209178
,primary,,,,,,,Rua Hildebrando Alves Barbosa,,,,2,paved,60,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,473.69475192242993
,residential,,,,,,,Rua São João,,,,,paved,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,69.45774532044838
,residential,,,,,,,Rua São João,,,,,paved,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,72.16141138967066
,residential,,,,,,,Avenida Santo Antônio,,,,,paved,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,121.02393289625066
,residential,,,,,,,Avenida José Alvares de Azevedo,,,,,paved,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,36.331663740405716
,primary_link,,,,,,,,,,,1,paved,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.91124531340116
,primary,,,,,,,Avenida Lacerda Agostinho,,,,2,paved,80,yes,,Rodovia Lacerda Agostinho,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4223.958682418827
,primary_link,,,,,,,,,,,1,paved,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,33.85388607399721
