highway,crossing,crossing:markings,addr:housenumber,addr:street,amenity,cuisine,name,opening_hours,name:pt,website,loc_name,lanes,oneway,surface,bicycle,foot,horse,maxspeed,parking,leisure,building,access,landuse,park,addr:city,seamark:harbour:category,seamark:type,shop,footway,area_m2,length_m
crossing,marked,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,19,Travessa Olinda,fast_food,diner;bavarian,Batata Mania,Tu-Su 19:00-23:00,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,17,Travessa Olinda,restaurant,pizza,Pizzaria Massa Fina,Tu-Su 19:00-01:00,Pizzaria Massa Fina,http://www.massafinacabofrio.com.br,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,parking_entrance,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
residential,,,,,,,Rua Rondônia,,,,,,,,,,,,,,,,,,,,,,,0.0,558.4668159209823
residential,,,,,,,Rua Salvador,,,,,,,,,,,,,,,,,,,,,,,0.0,604.1439916087324
residential,,,,,,,Rua Olinda,,,,,,,,,,,,,,,,,,,,,,,0.0,651.4156963719049
residential,,,,,,,Rua Vitória,,,,,,,,,,,,,,,,,,,,,,,0.0,962.8989206737638
residential,,,,,,,Rua Poeta Vitorino Carrico,,,,,,,,,,,,,,,,,,,,,,,0.0,383.89398438065894
residential,,,,,,,Rua Paraná,,,,,,,,,,,,,,,,,,,,,,,0.0,1008.9942530375725
residential,,,,,,,Rua Belo Horizonte,,,,Rua Palmeiras,,,,,,,,,,,,,,,,,,,0.0,779.7513531420855
residential,,,,,,,Rua Amapá,,,,,,,,,,,,,,,,,,,,,,,0.0,164.93923032463107
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,88.01390099357891
tertiary,,,,,,,Avenida Vitor Rocha,,,,,2,yes,paved,,,,,,,,,,,,,,,,0.0,1389.630198282946
tertiary,,,,,,,Avenida Vitor Rocha,,,,,2,yes,paved,,,,,,,,,,,,,,,,0.0,1413.192899888705
residential,,,,,,,Rua Fernando de Noronha,,,,,,,,,,,,,,,,,,,,,,,0.0,354.5947580637896
residential,,,,,,,Rua Espirito Santo,,,,,,,,,,,,,,,,,,,,,,,0.0,130.7089689353113
residential,,,,,,,Travessa Trindade,,,,,,,,,,,,,,,,,,,,,,,0.0,191.7510069567336
residential,,,,,,,Rua Pitangas,,,,,,,,,,,,,,,,,,,,,,,0.0,151.20527572200083
residential,,,,,,,Rua Espirito Santo,,,,,,,,,,,,,,,,,,,,,,,0.0,423.053829282759
residential,,,,,,,Rua Trindade,,,,,,,,,,,,,,,,,,,,,,,0.0,457.31071770391054
residential,,,,,,,Rua José do Dome,,,,,,,,,,,,,,,,,,,,,,,0.0,310.32820696206363
residential,,,,,,,Rua Curitiba,,,,,,,,,,,,,,,,,,,,,,,0.0,484.68535702756554
residential,,,,,,,Travessa Olinda,,,,,,,,,,,,,,,,,,,,,,,0.0,331.91923144160984
residential,,,,,,,Rua Fortaleza,,,,,,,,,,,,,,,,,,,,,,,0.0,922.4493346498659
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,160.28734570831153
residential,,,,,,,Rua Barbacena,,,,,,,,,,,,,,,,,,,,,,,0.0,277.66829024869975
residential,,,,,,,Rua Barbacena,,,,,,,,,,,,,,,,,,,,,,,0.0,270.14097961863973
residential,,,,,,,Rua Teresina,,,,,,,,,,,,,,,,,,,,,,,0.0,752.179812398527
residential,,,,,,,Rua Veneza,,,,,,yes,,,,,,,,,,,,,,,,,0.0,166.34260154956905
tertiary,,,,,,,Rua Veneza,,,,,2,yes,,,,,,,,,,,,,,,,,0.0,40.00001041006914
tertiary,,,,,,,Avenida Excelsior,,,,,2,yes,,yes,yes,yes,,,,,,,,,,,,,0.0,1136.4336482443507
residential,,,,,,,Rua Florença,,,,,,yes,,,,,,,,,,,,,,,,,0.0,21.176391111416365
residential,,,,,,,Rua São Luiz,,,,,,,,,,,,,,,,,,,,,,,0.0,598.3791159130158
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,33.95479364182423
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.280889477831353
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,443.15820058363335
residential,,,,,,,Travessa Novelino,,,,,,,,,,,,,,,,,,,,,,,0.0,179.79770859001445
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.4190096733223
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,130.97040729896
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,119.62842652493416
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,91.33371912130384
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,98.54222391753166
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,140.4797213012278
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,235.7113993568369
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,168.593257644211
unclassified,,,,,,,Rua Coronel Ferreira,,,,,,yes,,,,,,,,,,,,,,,,,0.0,57.00865646494563
tertiary,,,,,,,Rua Henrique Terra,,,,,2,yes,,,,,40,,,,,,,,,,,,0.0,306.841855674453
tertiary,,,,,,,Rua Henrique Terra,,,,,2,yes,,,,,40,,,,,,,,,,,,0.0,172.78077316143472
tertiary,,,,,,,Rua Henrique Terra,,,,,2,no,,,,,,,,,,,,,,,,,0.0,65.78840521686372
tertiary,,,,,,,Rua Acre,,,,,2,no,,,,,,,,,,,,,,,,,0.0,582.6835618643064
residential,,,,,,,Rua Irmã Josefina da Veiga,,,,,,,,,,,,,,,,,,,,,,,0.0,642.8534042774684
,,,,,parking,,Estacionamento Sul Shopping Park Lagos,,,,,,,,,,,,surface,,,,,,,,,,,12022.05380335692,448.74108553624893
service,,,,,,,Saída do estacionamento,,,,,,yes,,,,,,,,,,,,,,,,,0.0,57.59373410579577
tertiary,,,,,,,Rua Henrique Terra,,,,,2,yes,,,,,40,,,,,,,,,,,,0.0,172.49008739541426
residential,,,,,,,Rua Paulo Burle,,,,,,,,,,,,,,,,,,,,,,,0.0,13.63368897950754
tertiary,,,,,,,Rua Henrique Terra,,,,,2,yes,,,,,40,,,,,,,,,,,,0.0,312.6997017460966
residential,,,,,,,Beco Palmeiras,,,,,,,,,,,,,,,,,,,,,,,0.0,109.64405179018127
residential,,,,,,,Rua Porto Alegre,,,,,,,,yes,yes,,,,,,,,,,,,,,0.0,900.3854979325238
tertiary,,,,,,,Avenida Excelsior,,,,,2,yes,,yes,yes,yes,,,,,,,,,,,,,0.0,1071.451328219891
tertiary,,,,,,,Rua Henrique Terra,,,,,2,no,,,,,40,,,,,,,,,,,,0.0,501.13903454487286
tertiary,,,,,,,Avenida Henrique Terra,,,,,2,yes,,,,,40,,,,,,,,,,,,0.0,282.5241012397618
,,,,,,,,,,,,,,,,,,,,pitch,,,,,,,,,,448.21187946597365,89.06451181961579
,,,,,,,Praça Santos Angelo Custódios,,,,,,,,,,,,,park,,,,,,,,,,2531.3893133593024,218.6342139740891
footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1414.9931701050934
footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,36.25185903810877
unclassified,,,,,,,Rua Coronel Ferreira,,,,,,no,unpaved,,,,,,,,,,,,,,,,0.0,1121.4643403683385
unclassified,,,,,,,Rua Coronel Ferreira,,,,,,yes,,,,,,,,,,,,,,,,,0.0,52.05801892864981
residential,,,,,,,Rua Florença,,,,,,,,,,,,,,,,,,,,,,,0.0,154.16004048138066
residential,,,,,,,Rua Florença,,,,,,yes,,,,,,,,,,,,,,,,,0.0,15.811831507826113
,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,229.61479644967145,61.346371682181356
tertiary,,,,,,,Rua Veneza,,,,,2,yes,,,,,,,,,,,,,,,,,0.0,21.84715887978332
service,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,0.0,164.3947354607738
footway,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,0.0,1107.2296366766789
living_street,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,0.0,96.65415115889672
living_street,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,0.0,56.21917651834946
,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,1886.7798153477283,424.77485544196963
,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,141.64666318673284,47.92169486088979
,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,187.03550865604464,56.20904982447962
,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,74.38259240301045,34.76406173310343
,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,436.1512741624873,89.32667933841408
,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,108.21965052559281,41.75936922587928
,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,94.18044367120588,39.03675355576424
,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,45.85609165610664,29.08578612926612
,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,99.83156140395303,39.99967989170243
,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,86.82639691093172,37.49124199899268
,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,142.6994678453206,47.925593765803654
,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,163.0419002464913,53.6818112988017
,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,119.78042167749419,44.04049016001224
,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,79.03514415996717,36.51939088349661
,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,204.94698988917526,57.3307243077147
,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,213.27804969856203,58.57190115108338
,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,2905.7628771239856,353.8232434459489
,,,,,,,Reserva da Lagoa de Araruama,,,,,,,,,,,,,nature_reserve,,,,,,,,,,109587.666425707,2804.530859026171
,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,5351.490069714176,835.4256815408406
,,,,,love_hotel,,Motel Hawai,,,,,,,,,,,,,,,,,,,,,,,4408.9004684518695,279.797562485256
,,,,,,,Área de Proteção Ambiental das Palmeiras,,,,,,,,,,,,,nature_reserve,,,,public_reserve,,,,,,8245.814648671738,801.599184248968
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.325535353685837
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.00664733578987
tertiary_link,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,0.0,13.375048782474776
tertiary_link,,,,,,,,,,,,2,yes,,,,,,,,,,,,,,,,,0.0,13.866769344910978
tertiary,,,,,,,Rua Henrique Terra,,,,,2,yes,,,,,40,,,,,,,,,,,,0.0,13.826639657999344
tertiary,,,,,,,Rua Henrique Terra,,,,,2,yes,,,,,40,,,,,,,,,,,,0.0,13.529704764177193
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.652611808360051
,,,21,Rua Ilha da Conceição,,,Marina Marlin,,,,,,,,,,,,,marina,,,,,Cabo Frio,marina,harbour,,,6224.013628926146,331.9242650389323
,,,,Rua Irmã Josefina da Veiga,,,Princesa,,,,,,,,,,,,,,yes,,,,Cabo Frio,,,supermarket,,1163.3481606207893,164.94531096333563
,,,,,,,,,,,,,,,,,,,,pitch,,,,,,,,,,492.0686914420563,91.68713967093424
residential,,,,,,,Rua Paulo Burle,,,,,2,no,paving_stones,,,,40,,,,,,,,,,,,0.0,394.65649533752924
footway,marked,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,crossing,0.0,10.513656441161725
living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.369652883143742
footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,53.64842330437499
footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.436757842188115
footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.44736391263392
footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,40.42646357889856
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,72.13738383094324
