leaf_cycle,leaf_type,name,natural,amenity,drinking_water,fountain,height,lit,layer,place,landuse,residential,branch,brand,brand:wikidata,brand:wikipedia,building,opening_hours,operator,shop,bus,name:en,public_transport,water,motorboat,addr:city,addr:street,leisure,sport,building:material,roof:colour,roof:material,roof:shape,addr:housenumber,addr:postcode,addr:suburb,phone,train,building:levels,tourism,emergency,healthcare,operator:ref:vatin,operator:type,ref:CNES,ref:vatin,surface,office,club,religion,studio,abandoned:building,payment:cash,payment:credit_cards,payment:debit_cards,payment:pix,community_centre,second_hand,craft,type,source,intermittent,salt,wikidata,wikipedia,area_m2,length_m
mixed,mixed,Flamboyant,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
mixed,mixed,Flamboyant,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
mixed,mixed,Flamboyant,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
mixed,mixed,Flamboyant,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
mixed,mixed,Aroeira,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,Fonte do Itajurú,,fountain,no,drinking_fountain,3,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
