natural,building,intermittent,name,water,landuse,building:levels,amenity,bus,public_transport,surface,shop,healthcare,operator,operator:type,area_m2,length_m
tree,,,,,,,,,,,,,,,0.0,0.0
tree,,,,,,,,,,,,,,,0.0,0.0
tree,,,,,,,,,,,,,,,0.0,0.0
tree,,,,,,,,,,,,,,,0.0,0.0
tree,,,,,,,,,,,,,,,0.0,0.0
tree,,,,,,,,,,,,,,,0.0,0.0
tree,,,,,,,,,,,,,,,0.0,0.0
,yes,,,,,,,,,,,,,,11381.86503129113,470.4497534465468
water,,no,Lagoa da Ajuda,basin,,,,,,,,,,,25505.282839514555,1332.586561215626
,,,,,grass,,,,,,,,,,9833.583745270382,351.8049052706979
,yes,,,,industrial,4,,,,,,,,,1630.496671406649,165.59117300017977
,yes,,,,,4,,,,,,,,,750.6910495284195,112.16525323479715
,yes,,,,,4,,,,,,,,,1630.9329782875138,165.5353443040972
,apartments,,,,,9,,,,,,,,,347.105220059348,82.49759844110173
,apartments,,,,,9,,,,,,,,,347.1060025141455,82.49771317625634
,apartments,,,,,9,,,,,,,,,347.3971960573259,82.51739752595326
,apartments,,,,,9,,,,,,,,,347.1047343574162,82.49752699988576
,apartments,,,,,9,,,,,,,,,347.1043334759951,82.49746810168816
,apartments,,,,,9,,,,,,,,,347.2793509203851,82.51226626728942
,apartments,,,,,9,,,,,,,,,347.1034959093037,82.49734491551776
,apartments,,,,,9,,,,,,,,,347.10312670789835,82.4972909057186
,apartments,,,,,9,,,,,,,,,347.1027179344974,82.49723106749936
,apartments,,,,,9,,,,,,,,,347.1023032370384,82.49716996312725
,industrial,,,,,3,,,,,,,,,3489.264849549565,345.6301709068381
,industrial,,,,,3,,,,,,,,,712.5037161673305,119.13627739014603
,industrial,,,,,3,,,,,,,,,712.505478796952,119.13645289295295
,industrial,,,,,3,,,,,,,,,712.4724563022382,119.02850092046111
,industrial,,,,,3,,,,,,,,,712.5061578379941,119.10829382272871
,industrial,,,,,3,,,,,,,,,712.3898508886577,119.09394794203185
,industrial,,,,,3,,,,,,,,,712.5027960145395,119.11138215311716
,industrial,,,,,3,,,,,,,,,712.412766900984,119.08808924361125
,industrial,,,,,3,,,,,,,,,712.4711178506105,119.09658075828236
,industrial,,,,,3,,,,,,,,,712.4981512150642,119.0864340662931
,industrial,,,,,3,,,,,,,,,712.5869362530306,119.1050139808128
,industrial,,,,,3,,,,,,,,,712.4512377747235,119.08999153935855
,industrial,,,,,3,,,,,,,,,712.379822615249,119.10168582836724
,industrial,,,,,4,,,,,,,,,3040.9507864163775,220.61415222342538
,yes,,,,,2,,,,,,,,,205.20980794005436,62.289049882471915
,yes,,,,,2,,,,,,,,,205.25059150478182,62.28925249930789
,yes,,,,,2,,,,,,,,,205.23155758515986,62.29137676535701
,yes,,,,,2,,,,,,,,,205.17400445516245,62.29011365510995
,yes,,,,,2,,,,,,,,,205.17385653367035,62.290089866094014
,yes,,,,,2,,,,,,,,,205.24998809669887,62.2891555237711
,yes,,,,,2,,,,,,,,,205.3182494303127,62.30347536563539
,yes,,,,,2,,,,,,,,,205.10510405711037,62.275672841148264
,yes,,,,,2,,,,,,,,,205.1049583006258,62.275649435293516
,yes,,,,,2,,,,,,,,,205.3193466863238,62.303653266241355
,yes,,,,,2,,,,,,,,,205.17434418009594,62.29016989536582
,yes,,,,,2,,,,,,,,,205.19301706298884,62.28799001574001
,yes,,,,,2,,,,,,,,,205.1738046904826,62.29008337334861
,yes,,,,,2,,,,,,,,,205.2194260628894,62.274861366389715
,yes,,,,,2,,,,,,,,,205.14209763561882,62.27480792748168
,yes,,,,,3,,,,,,,,,636.1904077647893,104.35115759798188
,industrial,,,,,3,,,,,,,,,13486.79761081011,464.6864616930163
,industrial,,,,,3,,,,,,,,,1764.7312191252076,173.58528393885203
,,,Terminal Cehab,,,,bus_station,yes,station,,,,,,1250.6390561568824,203.32204713478174
,,,,,grass,,,,,,,,,,424.1275962977475,122.43137451447095
,,,,,grass,,,,,,,,,,1560.619291471362,180.8246458260678
wood,,,,,,,,,,,,,,,23563.84995912432,664.1751088249778
,commercial,,,,construction,,,,,,,,,,291.70573106913776,69.13906188643588
,retail,,,,,,,,,,,,,,126.65783862668857,52.652293069498064
,commercial,,,,residential,,,,,,,,,,79.93052254898555,37.88393833183511
,commercial,,Franco plaza Sanduba,,grass,,,,,paved,,,,,52.66160867025289,29.467257199455062
,commercial,,,,,,,,,,,,,,241.75028169496616,62.74752970557401
,commercial,,Supermercado J. Pavani,,,1,,,,paved,supermarket,,,,4647.018116708392,274.9378357379123
grassland,,,,,forest,,,,,ground,,,,,991373.3822903009,5886.684787868458
wood,,,,,forest,,,,,,,,,,38326.10825464371,877.62175273812
,yes,,,,,,,,,,,,,,9232.205174957197,485.1829042289917
,yes,,,,,,,,,,,,,,444.4869132825043,111.24745995919902
,yes,,,,,,,,,,,,,,477.35292149555323,107.73121596723871
,yes,,,,,,,,,,,,,,166.8071307585623,49.95360873224869
,yes,,,,,,clinic,,,,,clinic,Prefeitura de Macaé,public,592.1424987494432,129.44237550993043
,yes,,,,,,,,,,,,,,491.76161273143606,102.96504774211469
,yes,,,,,,,,,,,,,,396.93773943147096,94.86690477005865
,yes,,,,,,,,,,,,,,381.88054152289055,86.588499891741
,yes,,,,,,,,,,,,,,468.11168480614737,87.85737514941101
,school,,,,,,,,,,,,,,1545.1681088884502,239.7875440758813
,yes,,,,,,,,,,,,,,908.9948956327358,120.69011583727772
,yes,,,,,,,,,,,,,,264.5743906582855,69.02108520844948
,yes,,,,,,,,,,,,,,995.4228718413369,128.08759551143282
wood,,,,,,,,,,,,,,,7411.49253191747,351.3808489638147
wood,,,,,,,,,,,,,,,25466.793009074103,1014.4567940507046
,,,,,grass,,,,,,,,,,22964.593210506373,859.567516458292
