crossing,highway,natural,lanes,maxspeed,name,oneway,ref,surface,junction,bridge,layer,source,alt_name,building,service,intermittent,water,alt_name2,landuse,building:levels,alt_name:en,footway,access,shop,smoothness,width,amenity,healthcare,operator,operator:type,area_m2,length_m
uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,turning_circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,turning_circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
traffic_signals,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,tertiary,,2,60,Estrada do Imburo,yes,MC-201,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,188.65230755672636
,primary,,2,,,,,paved,roundabout,,,,,,,,,,,,,,,,,,,,,,0.0,385.02649397740305
,tertiary,,2,60,Estrada do Imburo,yes,MC-201,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,173.15686850566308
,tertiary,,2,60,Estrada do Imburo,,MC-201,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,197.43879958325297
,primary,,2,80,Avenida Lacerda Agostinho,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,4222.330011209178
,primary,,2,60,Rua Hildebrando Alves Barbosa,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,473.69475192242993
,tertiary,,2,60,Estrada do Imburo,,MC-201,paved,,yes,1,,,,,,,,,,,,,,,,,,,,0.0,37.51481260078461
,tertiary,,2,60,Estrada do Imburo,,MC-201,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,1734.3654132245777
,tertiary,,2,,Rua Doutor Benedito Carlos Ferreira,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,776.3319460520947
,primary_link,,1,,,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,34.462985614344014
,primary,,2,80,Avenida Industrial,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,3747.7557268539144
,tertiary,,2,,Rua Doutor Benedito Carlos Ferreira,,,,,,,Bing;IBGE,,,,,,,,,,,,,,,,,,,0.0,423.17359271431064
,tertiary_link,,1,,,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,71.36910681138384
,tertiary_link,,1,,,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,74.32193616259647
,tertiary,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,171.83897343463894
,residential,,,,Rua São João,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,69.45774532044838
,residential,,2,,,,,,,yes,1,,,,,,,,,,,,,,,,,,,,0.0,18.92726212763786
,residential,,,,Rua São João,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,72.16141138967066
,tertiary,,2,,Rua Alaíde Mota,,,paved,,yes,1,,,,,,,,,,,,,,,,,,,,0.0,19.466972368369824
,residential,,,,Rua Boa Vista,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,59.13112194873269
,tertiary_link,,1,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,67.97322217089803
,residential,,,,Avenida Presidente Tancredo Neves,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1196.1284820497538
