highway,lanes,name,oneway,surface,alt_name,maxspeed,source,IBGE:CD_ADMINIS,ref,addr:city,addr:housenumber,addr:postcode,addr:street,addr:suburb,building,shop,bicycle,lit,service,covered,layer,landuse,amenity,brand,brand:wikidata,brand:wikipedia,religion,area_m2,length_m
crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
secondary,2,Avenida Joaquim Nogueira,yes,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,1503.3200912708796
tertiary,2,Avenida Vitor Rocha,yes,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,1389.630198282946
tertiary,2,Avenida Vitor Rocha,yes,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,1413.192899888705
residential,,Rua Otacilio Massa de Azevedo,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,327.792603340553
residential,,Rua Budapeste,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,611.8544686888059
residential,,Rua Vinte e Quatro,,,Rua 24,,,,,,,,,,,,,,,,,,,,,,,0.0,116.07519061031218
residential,,Rua Vinte e Três,,,Rua 23,,,,,,,,,,,,,,,,,,,,,,,0.0,147.95849687594642
residential,,Rua Seis,,,Rua 6;Rua 26;Rua Vinte e Seis,,,,,,,,,,,,,,,,,,,,,,,0.0,81.7822609693491
residential,,Rua G,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,196.4431959845805
residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,194.31775705710302
residential,,Rua Vinte,,,Rua 20,,,,,,,,,,,,,,,,,,,,,,,0.0,131.36582183070158
residential,,Rua Vinte e Dois,,,Rua 22,,,,,,,,,,,,,,,,,,,,,,,0.0,165.02576612472222
residential,,Rua Estocolmo,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,125.75111515677276
residential,,Rua Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,173.56366774482532
residential,,Rua Nove,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,214.72105047027273
residential,,Rua Vinte e Um,,,Rua 21,,,,,,,,,,,,,,,,,,,,,,,0.0,153.12326715694405
