highway,addr:city,addr:housenumber,addr:postcode,addr:street,bench,bus,covered,departures_board,description,gtfs_id,name,network,network:wikidata,network:wikipedia,operator,public_transport,route_ref,shelter,wheelchair,natural,crossing,crossing:markings,maxspeed,lanes,lit,postal_code,surface,bicycle,foot,oneway,handrail,incline,ramp,alt_name,maxspeed:type,amenity,brand,brand:wikidata,brand:wikipedia,building,roof:material,lanes:backward,lanes:forward,source,horse,height,shop,contact:phone,area,footway,barrier,type,area_m2,length_m
traffic_signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
traffic_signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
bus_stop,São Paulo,1401,02072-001,Avenida Conceição,yes,yes,yes,yes,Ref.: R Padre Lehmann/ R Coronel Jordao,880000752,"Avenida Conceição, 1405",SPTrans,Q7392689,pt:São Paulo Transporte,SPTrans,platform,2012-10;271A-10;271A-51;271C-10,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
bus_stop,São Paulo,1394,02072-001,Avenida Conceição,no,yes,no,yes,Ref.: R Coronel Jordao/ R Padre Lehmann,880000753,"Avenida Conceição, 1398",SPTrans,Q7392689,pt:São Paulo Transporte,SPTrans,platform,2012-10;271A-10;271A-51;271C-10,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
turning_circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,,,,,,,,,,,,,,,,,,,,marked,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,,,,,,,,,,,,,,,,,,,,marked,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,,,,,,,,,,,,,,,,,,,,marked,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,,,,,,,,,,,,,,,,,,,,marked,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,,,,,,,,,,,,,,,,,,,,marked,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.206,,,,,,multipolygon,384.8286318394061,148.7755169114031
tertiary,,,,,,,,,,,Rua Coronel Jordão,,,,,,,,,,,,40,2,yes,02075-030,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,575.7269666440749
tertiary,,,,,,,,,,,Rua Mario de Souza,,,,,,,,,,,,30,2,yes,,asphalt,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,0.0,107.35467976977678
residential,,,,,,,,,,,Rua Claudionor Barbieri,,,,,,,,,,,,20,2,yes,,asphalt,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,0.0,377.2822740732348
