highway,lanes,maxspeed,ref,source,surface,IBGE:CD_ADMINIS,name,bridge,layer,junction,oneway,area_m2,length_m
primary,2,80,RJ-162,IBGE,paved,,,,,,,0.0,8615.578043588313
primary,,80,RJ-162,IBGE,unpaved,estadual,RJ-162,,,,,0.0,9394.228589169026
primary,,80,RJ-162,IBGE,unpaved,,RJ-162,,,,,0.0,900.9962389850281
residential,,,,IBGE,unpaved,,Rua Armando Vaz Couto,,,,,0.0,136.9007953813905
track,,,,IBGE,unpaved,,,,,,,0.0,163.80800056517444
primary,,80,,IBGE,paved,,RJ-162,yes,1,,,0.0,11.156845379420236
residential,,,,IBGE,paved,,Avenida Doutor Feliciano Sodré,,,,,0.0,764.3378734683062
track,,,,IBGE,unpaved,,,,,,,0.0,26.383592274118364
unclassified,,,,IBGE,unpaved,,,,,,,0.0,16.525040295853533
service,,,,IBGE,unpaved,,,,,,,0.0,25.771691236531534
residential,,,,IBGE,unpaved,,Rua Eli Félix,,,,,0.0,265.6267803376028
residential,,,,IBGE,unpaved,,Rua Fernando Bravo,,,,,0.0,122.75085383397862
unclassified,,,,IBGE,unpaved,,,,,,,0.0,773.3423031126553
path,,,,,ground,,Trilha de ligação,,,,,0.0,4155.858130544152
primary,2,80,RJ-162,IBGE,unpaved,,,,,,,0.0,18.007858403025892
residential,,,,,,,,,,circular,yes,0.0,17.29655219815816
primary,2,80,RJ-162,IBGE,unpaved,,,,,,,0.0,7.47198005668532
residential,,,,,,,,,,circular,yes,0.0,28.38245689609118
primary_link,,,,,unpaved,,,,,,yes,0.0,25.639775334127595
residential,,,,,,,,,,circular,yes,0.0,9.34399772272601
